Date,RealTRP,ret
1983.1,138914.37257912732,0.003504631713171502
1983.11,137059.437784149,-0.013353080466326328
1983.12,136750.77184542446,-0.0022520589877994546
1984.01,138090.04403150623,0.009793525608730036
1984.02,130392.89965328397,-0.05574003855387366
1984.03,130716.4733055541,0.002481528159359314
1984.04,130745.3060403792,0.00022057460774438375
1984.05,130039.68529665284,-0.005396910719750347
1984.06,127269.89989176088,-0.02129953943346896
1984.07,125630.74262293983,-0.012879378943608133
1984.08,136673.4661569037,0.087898258845025
1984.09,137938.04409288533,0.009252548951453887
1984.1,136981.26976877375,-0.006936261351272344
1984.11,138746.17811915217,0.012884304207119834
1984.12,137767.94664684485,-0.007050511124473968
1985.01,143969.2683103404,0.0450128046068079
1985.02,151585.90257984897,0.05290458414423638
1985.03,150296.70804677188,-0.008504712583005558
1985.04,151128.4881437317,0.005534253595900207
1985.05,154685.86440963438,0.023538753742573082
1985.06,158129.71956055524,0.022263541430010303
1985.07,161385.59527547835,0.020589903807906706
1985.08,158116.50778930745,-0.020256377160493888
1985.09,154708.60686557204,-0.02155310012460232
1985.1,156445.9493132926,0.011229772427788332
1985.11,166033.75137015677,0.061285077043854885
1985.12,174345.9826564932,0.050063503460842096
1986.01,175178.57515510643,0.004775518689488001
1986.02,185669.95526986118,0.059889630369841074
1986.03,198058.35555868637,0.06672269765358285
1986.04,203864.62548740662,0.029315955453340203
1986.05,204304.8183170007,0.002159240861633771
1986.06,209553.51770305625,0.02569053157577339
1986.07,205776.43799246027,-0.01802441568147861
1986.08,210089.2670852859,0.020958809156681246
1986.09,204002.25693520732,-0.02897344654740286
1986.1,203635.31676914115,-0.001798706404423367
1986.11,210639.87091703818,0.03439754095227987
1986.12,214046.88977878794,0.01617461521846275
1987.01,226895.12292942867,0.06002532045160325
1987.02,240692.4379834982,0.060809218267599885
1987.03,250107.00091270945,0.0391144940326571
1987.04,246649.17806660966,-0.01382537407382134
1987.05,246205.88190981507,-0.001797274007841465
1987.06,256378.83911531197,0.041318904026928394
1987.07,263689.566256716,0.028515329762125452
1987.08,279239.1644310703,0.05896933426336637
1987.09,269367.5588304157,-0.035351794655192115
1987.1,236822.75981868632,-0.12081929670015845
1987.11,207509.02319120098,-0.12377922058643442
1987.12,204742.94202832234,-0.013329931972789089
1988.01,212887.3082866142,0.039778495793838964
1988.02,219407.8003767304,0.03062884369479435
1988.03,225530.38225861627,0.02790503287200008
1988.04,222393.3563382652,-0.013909549076868144
1988.05,216792.84410726491,-0.025182911590586277
1988.06,228829.35345928016,0.055520787143969574
1988.07,227169.84647663124,-0.0072521595571619635
1988.08,222333.2438437381,-0.02129068935824041
1988.09,225110.0229881582,0.012489266546084732
1988.1,232896.52563941324,0.034589764364533204
1988.11,228008.04553335084,-0.020989922853684395
1988.12,232931.8669006499,0.021594945721241432
1989.01,239923.77202390367,0.03001695395433357
1989.02,246827.6330320957,0.028775227022957095
1989.03,245026.03107118257,-0.007299028632984816
1989.04,252116.896967949,0.028939235010122077
1989.05,261015.43069020813,0.03529526909650316
1989.06,269230.5263520702,0.03147360154201895
1989.07,276105.6873067617,0.02553633515428655
1989.08,288601.6871851249,0.045258031445327696
1989.09,289001.3208635918,0.0013847239853816973
1989.1,288448.67578733445,-0.001912257959949648
1989.11,282551.38876709813,-0.02044483998458091
1989.12,289833.0340084494,0.025771047430077854
1990.01,280537.5738852524,-0.032071775927812296
1990.02,272172.2468020467,-0.029818918611691392
1990.03,278026.1259685553,0.021507994423715537
1990.04,278146.76556947886,0.000433914620445508
1990.05,288195.23937617685,0.03612651682691581
1990.06,295735.93685820035,0.026165239572818688
1990.07,295106.5326329384,-0.0021282642615183534
1990.08,269431.9694942895,-0.08700099895986935
1990.09,255602.43972807267,-0.05132846629957888
1990.1,248193.53974868063,-0.028986029974025773
1990.11,255031.9016630572,0.027552537915777497
1990.12,266734.37886598235,0.04588632687367178
1991.01,263333.4312499152,-0.012750315990485372
1991.02,293462.34382703446,0.11441354952203375
1991.03,301948.93982227665,0.028918858496693955
1991.04,308314.0387325966,0.02108005053459161
1991.05,306855.3512016504,-0.004731174541848682
1991.06,307015.19980194455,0.0005209249233171231
1991.07,308959.9856130431,0.006334493576712674
1991.08,316310.7967577606,0.023792113823839944
1991.09,313975.8834274517,-0.007381706075929473
1991.1,314086.55173564225,0.0003524739129083798
1991.11,313222.50671963574,-0.002750977433550683
1991.12,315920.5091317038,0.008613692675932372
1992.01,338677.5397940743,0.07203404022397075
1992.02,335430.8733980598,-0.009586305599091571
1992.03,330369.223763965,-0.015089993305679061
1992.04,330767.50162794424,0.00120555377235676
1992.05,337125.59862456843,0.019222254197680977
1992.06,331458.4638560463,-0.016810158562990618
1992.07,337076.6911173108,0.016950019003601158
1992.08,339286.65232152643,0.006556256372667768
1992.09,339607.93376311305,0.0009469321571842215
1992.1,334409.3483758319,-0.015307608776028547
1992.11,343144.4763928365,0.026121064077393674
1992.12,354619.6033846909,0.033441094877824984
1993.01,353384.6466490123,-0.003482482987097968
1993.02,358224.0867338297,0.013694539733708488
1993.03,364654.5775816609,0.017951028660474266
1993.04,358763.39931250527,-0.01615550340331695
1993.05,360863.15011905023,0.005852745320644948
1993.06,363482.0371774424,0.00725728591996222
1993.07,363703.77479478944,0.0006100373461888076
1993.08,369091.5153149615,0.01481354028621773
1993.09,373319.14990334265,0.011454163569090792
1993.1,376400.3358780704,0.008253490279096276
1993.11,376171.9040681965,-0.0006068852445123563
1993.12,379510.57972018037,0.008875398762844933
1994.01,385045.00241033226,0.014583052452009415
1994.02,383445.0918335682,-0.004155126197584291
1994.03,376704.5367444215,-0.01757893172374303
1994.04,363607.47977801,-0.03476745217777222
1994.05,367209.1424559406,0.009905359153033588
1994.06,370026.77208249184,0.007673092253930758
1994.07,367116.62177566206,-0.007864702033454463
1994.08,376909.58235605364,0.026675339659166575
1994.09,378974.65817571606,0.0054789687403373755
1994.1,377045.9221689118,-0.005089353510043915
1994.11,375155.0603531453,-0.0050149377160466635
1994.12,371312.0422569701,-0.010243812498644367
1995.01,378895.607473574,0.020423698543436064
1995.02,391801.90619606385,0.034062940999890046
1995.03,400497.1595381085,0.02219298376178247
