Date,gold,Newmont,Agnico,Kinross,Zijin,Shandong Gold,Zhaojin
2022-07-01,98.08080521016147,102.5921170274381,68.34956173507342,51.699691602451345,86.15413615352014,75.56800906822889,73.21100270054677
2022-07-08,94.90213176791904,99.55645865465902,65.12021390406608,46.80917825906036,82.51508566931545,74.66028978728207,71.2900077703096
2022-07-15,92.81936901341481,91.79119145189443,61.4295479133942,43.17622732347369,76.14678286113299,72.29736749999898,67.76820095068256
2022-07-22,94.1660759269234,86.1894717607738,58.070457367815095,45.41189026053513,78.87606835500812,73.5410056623462,70.00934792731304
2022-07-29,96.11798963417309,75.94198118905253,61.97738737066696,47.647549631894776,81.24143742792656,75.82102797436156,80.04117819837711
2022-08-05,96.66321618305875,75.0866465099491,62.6549635068437,46.80917825906036,80.24071110194569,76.85740397501021,80.36134057625509
2022-08-12,98.06444575145589,78.07197633663317,66.69164829560287,50.302396472522524,83.60682071651527,78.18396655968363,81.42856227782788
2022-08-19,95.28379035213901,73.00693694769002,63.029808654242245,49.60495233191549,80.42266220458889,74.2872032279896,76.73280952017383
2022-08-26,94.6567798209205,72.48703282754421,62.7991435387422,48.19572279806325,83.2428995570018,74.99193858246991,72.03706192826209
2022-09-02,93.22283799070972,69.88741914513932,60.48777249153875,46.222795032406886,77.51143034662732,73.33373535162815,65.9539302568996
2022-09-09,93.57177765751852,73.37065717596354,64.19913478702391,50.027719765790444,83.60682071651527,76.52574703080288,63.39261573664881
2022-09-16,91.14551951497732,74.28842101901665,60.6624266100521,46.363718698932466,78.96704390632972,72.00718906499372,60.29768519986929
2022-09-23,89.70612675039719,70.10747854700077,56.86375838014748,46.64556959768543,77.60241537506245,73.74828412208372,61.15145842853366
2022-09-30,90.63846281787217,71.43313345356145,61.46291308487507,52.987109631424104,71.32506442541778,71.01226712648867,57.20275982883209
2022-10-07,92.71577463800705,72.40190605495586,62.05964748682339,52.705262298372936,71.32506442541778,71.01226712648867,61.47163113789629
2022-10-14,89.50983986832033,69.2406948217733,58.39195324771739,47.20925713238417,72.41678051839054,71.50971587221197,65.52704880830974
2022-10-21,90.01690322102301,72.01100597734721,62.68547380746522,50.45049076536719,72.14384912586895,69.97588297682053,63.819502350981
2022-10-28,89.39534362417385,72.84379341051904,65.74188768527614,51.57787653187006,73.6904477140065,72.25590528883589,70.86312115597741
2022-11-04,91.18914030112718,69.66559835156649,63.18032613730843,54.39634273097814,76.05580730981139,73.25082722734095,72.99755422763835
2022-11-11,96.28700853320814,79.08123230687396,70.87957484756167,60.73788633041861,90.24805965577607,83.24145992943764,89.75284092582086
2022-11-18,95.51824043039886,76.70184270929539,69.46779594010806,57.77848933338136,87.70072526454415,81.41744045002145,86.01759596477005
2022-11-25,95.59457347836235,77.92552305994697,72.58243590498049,58.06034736353792,89.06535379581142,86.5992878571868,92.52759875323775
2022-12-02,97.91723724549577,82.71832002754644,75.95674236902978,61.62051162828842,91.97659039232975,86.22620129789433,93.80825859623431
2022-12-09,98.03718442401161,79.79164597687752,74.7096345855835,59.7747367888074,96.52537743552341,85.35565784385908,92.74104722614618
2022-12-16,97.59555225053373,79.3445317272114,74.91503439576177,58.07093393218107,93.70511165176991,79.88360755463,89.32595431148869
2022-12-23,97.91723724549577,82.28511790834877,77.20385015247606,59.20679537186169,90.0660895989058,77.97668809994609,89.21924040651913
2022-12-30,99.21487243848513,81.1673645047636,76.27952988183672,58.07093393218107,90.97586406634889,79.42761287105033,92.63433332117663
2023-01-06,101.64113058102635,90.60821643408539,81.1066095088928,64.88611683307202,94.88781751173457,79.59343726864424,95.9427019993799
2023-01-13,104.59626246934515,93.46283094742324,82.0896206130126,67.29982595809516,105.07710769109462,81.25162420144703,100.74515833051888
2023-01-20,105.03244370845368,91.7259913180573,82.5151231200781,67.0158463353678,108.35223701578585,82.90981928326929,98.82417373176635
2023-01-27,105.15239088696953,91.6916012189117,83.43944942638522,68.00971439798296,108.35223701578585,82.90981928326929,101.06533103988149
2023-02-03,101.57025512302972,85.72442138819291,76.93975950881735,62.18844234812874,107.80638370785623,82.70255712157073,98.39729744891882
2023-02-10,101.56480418866036,82.50867861324627,75.16445233105034,59.49076786318545,101.80196888928987,78.93013967826856,89.32595431148869
2023-02-17,100.34349538803697,78.10638791616549,67.8284783930638,54.805335858801065,103.34855800031389,77.76940964020856,87.0848073348582
2023-02-24,98.62058082467779,74.87346083183944,66.64004333609466,51.397744408355585,105.8049026245539,78.5570531189761,89.5394027843971
2023-03-03,100.741506775365,76.86822978486175,70.6295835238341,53.243522813538405,108.98907061359382,79.71779945507507,92.63433332117663
2023-03-10,101.5211834025105,73.18916938853,67.22537032594114,50.103519454647305,104.07636241088669,80.62980512027342,89.96629973021393
2023-03-17,107.39872826173695,83.62244382502965,75.24743672734022,59.122159873945314,104.25833246775696,86.47495011781446,104.0535166772375
2023-03-24,108.06935292350781,84.28212082159042,76.49070582607922,62.41468612731623,109.2620020061154,90.41315121361309,130.20031405647046
2023-03-31,107.35510747558709,85.09803899105478,75.43984778045862,67.4250248796843,112.71907295633628,91.36661908997455,127.2121180876298
