ym,ECY
1911.6666666666667,5.387584785592084
1911.75,5.344740984881334
1911.8333333333333,4.745119494291522
1911.9166666666667,4.409843542917356
1912.0,4.704764082383561
1912.0833333333333,4.914293070284786
1912.1666666666667,5.026588130344872
1912.25,5.1641620629539045
1912.3333333333333,5.011670072525541
1912.4166666666667,4.681405774368827
1912.5,4.635563479227684
1912.5833333333333,4.723887375824068
1912.6666666666667,4.697529258614506
1912.75,3.9873848016868005
1912.8333333333333,4.367991882974321
1912.9166666666667,4.314976142510912
1913.0,4.402058279252277
1913.0833333333333,4.705151250289679
1913.1666666666667,5.221025365417398
1913.25,5.251905504882283
1913.3333333333333,5.544852918046624
1913.4166666666667,6.192763674690525
1913.5,6.288622755167769
1913.5833333333333,6.083856612903771
1913.6666666666667,6.095116122182327
1913.75,6.510872196035137
1913.8333333333333,7.0702015740189275
1913.9166666666667,6.910640285813466
1914.0,6.342152742930661
1914.0833333333333,5.804232722367727
1914.1666666666667,6.073786169466489
1914.25,6.201077619782012
1914.3333333333333,6.567771883351263
1914.4166666666667,6.599441524600618
1914.5,7.296229128121015
1914.5833333333333,7.552710247656481
1914.6666666666667,7.4202323100275
1914.75,7.212274741887861
1914.8333333333333,7.160265201032106
1914.9166666666667,7.375482593558743
1915.0,7.190782363139475
1915.0833333333333,7.133471798685701
1915.1666666666667,6.8208639007930945
1915.25,6.370342372985319
1915.3333333333333,6.901695385902704
1915.4166666666667,6.814004213571461
1915.5,6.862615357373839
1915.5833333333333,6.3959240859477795
1915.6666666666667,6.221627196136815
1915.75,5.981421271578328
1915.8333333333333,5.788871956874941
1915.9166666666667,5.676964871216058
1916.0,5.9986791585310835
1916.0833333333333,6.105579976767148
1916.1666666666667,6.306359144997696
1916.25,6.5748722644587465
1916.3333333333333,6.457962029551506
1916.4166666666667,6.559125517043005
1916.5,7.036450096274429
1916.5833333333333,6.925546337440301
1916.6666666666667,6.830811376991239
1916.75,6.703148891235844
1916.8333333333333,6.752161327959103
1916.9166666666667,7.181205034640314
1917.0,7.700006175641586
1917.0833333333333,8.55316697341377
1917.1666666666667,8.379774541294136
1917.25,9.540489143548553
1917.3333333333333,10.03078440829968
1917.4166666666667,10.044670647542247
1917.5,10.031754123277208
1917.5833333333333,10.721879004303458
1917.6666666666667,11.842264421516823
1917.75,12.822085584760265
1917.8333333333333,14.498243667172828
1917.9166666666667,15.633999923668378
1918.0,15.411544909528264
1918.0833333333333,15.289235664348771
1918.1666666666667,15.436291759318099
1918.25,15.854915404352552
1918.3333333333333,15.937049095408245
1918.4166666666667,16.28850485196715
1918.5,16.764209330860854
1918.5833333333333,17.147949792457627
1918.6666666666667,17.755205758811705
1918.75,17.481795180631345
1918.8333333333333,17.463797411724727
1918.9166666666667,17.998283511502514
1919.0,18.213113329680375
1919.0833333333333,17.49565206825105
1919.1666666666667,17.293190745470643
1919.25,16.9814974654537
1919.3333333333333,16.11409583644895
1919.4166666666667,15.565526932897688
1919.5,15.772882117381556
1919.5833333333333,17.064096355555282
1919.6666666666667,16.7923414326749
1919.75,16.192257750459024
1919.8333333333333,17.02855770390374
1919.9166666666667,17.884105892950654
1920.0,18.63420961521563
1920.0833333333333,20.36970332504638
1920.1666666666667,19.179383998495133
1920.25,20.002702354681727
1920.3333333333333,21.76673789194917
1920.4166666666667,22.570609227300807
1920.5,22.364726750461543
1920.5833333333333,22.431643473371807
1920.6666666666667,21.32697127200524
1920.75,21.39375630594735
1920.8333333333333,22.368938063015108
1920.9166666666667,23.534006085393735
1921.0,21.92079629022203
1921.0833333333333,21.41431784325915
1921.1666666666667,21.609205781717527
1921.25,21.520858180944384
1921.3333333333333,20.295342319783582
1921.4166666666667,21.644775043781014
1921.5,21.723137134873227
1921.5833333333333,21.585157871859117
1921.6666666666667,20.64012363362299
1921.75,20.360686991963544
1921.8333333333333,19.35377082611144
1921.9166666666667,18.696752320380906
1922.0,17.951956182160135
1922.0833333333333,17.4080106815289
1922.1666666666667,16.243257308781896
1922.25,15.011860019363658
1922.3333333333333,14.427069252660306
1922.4166666666667,14.587981797708546
1922.5,14.56932746409172
1922.5833333333333,13.648243579404424
1922.6666666666667,13.170642498863803
1922.75,12.989248661951509
1922.8333333333333,13.690598043210201
1922.9166666666667,13.904051336828621
1923.0,13.441486988785211
1923.0833333333333,12.921581550482802
1923.1666666666667,12.721147552406912
1923.25,13.258943586124278
1923.3333333333333,13.948108359684205
1923.4166666666667,14.462548934004035
1923.5,15.082031447916542
1923.5833333333333,14.87019019438563
1923.6666666666667,14.821085527765074
1923.75,15.16527076029616
1923.8333333333333,14.670636211495335
1923.9166666666667,14.353740233689564
1924.0,13.962335892935629
1924.0833333333333,13.887619650281108
1924.1666666666667,14.000792613364045
1924.25,14.273334858362077
1924.3333333333333,14.221000739146007
1924.4166666666667,13.998729179276163
1924.5,13.487887811364763
1924.5833333333333,12.768930742272607
1924.6666666666667,13.028797514421841
1924.75,13.435201723474414
1924.8333333333333,12.721517587619612
1924.9166666666667,12.392891919221901
1925.0,11.98628708532386
